TimeStamp,Player,CoolDownCount
11/16/2019 10:23:38 AM,playerOne,2
11/16/2019 10:23:38 AM,playerTwo,2
11/16/2019 10:24:14 AM,playerOne,0
11/16/2019 10:24:14 AM,playerTwo,2
11/16/2019 10:27:44 AM,playerOne,4
11/16/2019 10:27:44 AM,playerTwo,4
11/16/2019 6:45:44 PM,playerOne,6
11/16/2019 6:45:44 PM,playerTwo,3
11/16/2019 6:51:17 PM,playerOne,0
11/16/2019 6:51:17 PM,playerTwo,2
11/16/2019 7:49:53 PM,playerOne,0
11/16/2019 7:49:53 PM,playerTwo,1
11/16/2019 7:51:30 PM,playerOne,0
11/16/2019 7:51:30 PM,playerTwo,1
11/16/2019 7:52:13 PM,playerOne,5
11/16/2019 7:52:13 PM,playerTwo,7
11/16/2019 8:09:50 PM,playerOne,6
11/16/2019 8:09:50 PM,playerTwo,3
11/16/2019 8:18:19 PM,playerOne,0
11/16/2019 8:18:19 PM,playerTwo,2
11/17/2019 12:34:25 PM,playerOne,3
11/17/2019 12:34:25 PM,playerTwo,3
11/17/2019 2:49:18 PM,playerOne,3
11/17/2019 2:49:18 PM,playerTwo,5
11/17/2019 2:53:28 PM,playerOne,2
11/17/2019 2:53:28 PM,playerTwo,2
11/17/2019 2:57:13 PM,playerOne,5
11/17/2019 2:57:13 PM,playerTwo,5
11/17/2019 11:24:35 AM,playerOne,8
11/17/2019 11:24:35 AM,playerTwo,5
11/17/2019 11:26:50 AM,playerOne,0
11/17/2019 11:26:50 AM,playerTwo,3
11/17/2019 11:33:29 AM,playerOne,0
11/17/2019 11:33:29 AM,playerTwo,6
11/17/2019 11:35:40 AM,playerOne,5
11/17/2019 11:35:40 AM,playerTwo,4
11/17/2019 11:36:15 AM,playerOne,3
11/17/2019 11:36:15 AM,playerTwo,0
11/17/2019 11:37:38 AM,playerOne,4
11/17/2019 11:37:38 AM,playerTwo,6
11/17/2019 11:38:33 AM,playerOne,6
11/17/2019 11:38:33 AM,playerTwo,8
11/18/2019 10:56:23 AM,playerOne,3
11/18/2019 10:56:23 AM,playerTwo,3
11/18/2019 10:58:51 AM,playerOne,4
11/18/2019 10:58:51 AM,playerTwo,4
11/18/2019 10:59:28 AM,playerOne,4
11/18/2019 10:59:28 AM,playerTwo,4
11/18/2019 11:02:51 AM,playerOne,6
11/18/2019 11:02:51 AM,playerTwo,6
11/18/2019 11:03:49 AM,playerOne,8
